Category,Season Title,Show Title,type,Week,count of shows,Cumulative Weeks In Top 10,Weekly Hours Viewed,Weekly Rank
Films (English),N/A,Vivo,Film,8/15/2021,1,2,37050000,2
Films (English),N/A,Beckett,Film,8/15/2021,1,1,23580000,3
Films (English),N/A,Hotel Transylvania 3: Summer Vacation,Film,8/15/2021,1,2,21460000,4
Films (English),N/A,Aftermath,Film,8/15/2021,1,2,15870000,5
Films (English),N/A,Resort to Love,Film,8/15/2021,1,3,9860000,6
Films (English),N/A,The Kissing Booth,Film,8/15/2021,1,1,8590000,7
Films (English),N/A,The Kissing Booth 2,Film,8/15/2021,1,1,8370000,8
Films (English),N/A,Dead Man Down,Film,8/15/2021,1,2,7580000,9
Films (English),N/A,Untold: Malice at the Palace,Film,8/15/2021,1,1,6450000,10
Films (Non-English),N/A,The Swarm,Film,8/15/2021,1,2,11470000,1
Films (Non-English),N/A,The Last Mercenary,Film,8/15/2021,1,3,7570000,2
Films (Non-English),N/A,Rurouni Kenshin: The Beginning,Film,8/15/2021,1,3,6550000,3
Films (Non-English),N/A,Blood Red Sky,Film,8/15/2021,1,4,6470000,4
Films (Non-English),N/A,El infierno,Film,8/15/2021,1,2,4890000,5
Films (Non-English),N/A,Mimi,Film,8/15/2021,1,3,3630000,6
Films (Non-English),N/A,Shiny_Flakes: The Teenage Drug Lord,Film,8/15/2021,1,2,3440000,7
Films (Non-English),N/A,Rurouni Kenshin: The Final,Film,8/15/2021,1,3,2820000,8
Films (Non-English),Navarasa: Volume 1,Navarasa,Film,8/15/2021,1,2,2800000,9
Films (Non-English),N/A,Kingdom: Ashin of the North,Film,8/15/2021,1,4,2190000,10
TV (English),Outer Banks: Season 2,Outer Banks,TV,8/15/2021,1,3,51600000,1
TV (English),Hit & Run: Season 1,Hit & Run,TV,8/15/2021,1,2,45190000,2
TV (English),Outer Banks: Season 1,Outer Banks,TV,8/15/2021,1,3,30390000,3
TV (English),All American: Season 3,All American,TV,8/15/2021,1,3,20870000,4
TV (English),Cocaine Cowboys: The Kings of Miami: Limited Series,Cocaine Cowboys: The Kings of Miami,TV,8/15/2021,1,2,13870000,5
TV (English),For Life: Season 1,For Life,TV,8/15/2021,1,1,13790000,6
TV (English),Virgin River: Season 3,Virgin River,TV,8/15/2021,1,6,13220000,7
TV (English),Gabby's Dollhouse: Season 2,Gabby's Dollhouse,TV,8/15/2021,1,1,13170000,8
TV (English),Sex/Life: Season 1,Sex/Life,TV,8/15/2021,1,7,12190000,9
TV (English),The Good Doctor: Season 1,The Good Doctor,TV,8/15/2021,1,5,11810000,10
TV (Non-English),The Snitch Cartel: Origins: Season 1,The Snitch Cartel: Origins,TV,8/15/2021,1,3,23830000,1
TV (Non-English),Control Z: Season 2,Control Z,TV,8/15/2021,1,2,16400000,2
TV (Non-English),SHAMAN KING: Season 1,SHAMAN KING,TV,8/15/2021,1,1,12970000,3
TV (Non-English),"Newly Rich, Newly Poor: Season 1","Newly Rich, Newly Poor",TV,8/15/2021,1,7,12750000,4
TV (Non-English),The Cook of Castamar: Season 1,The Cook of Castamar,TV,8/15/2021,1,6,11950000,5
TV (Non-English),AlRawabi School for Girls: Limited Series,AlRawabi School for Girls,TV,8/15/2021,1,1,11620000,6
TV (Non-English),N/A,Carrossel,TV,8/15/2021,1,6,10640000,7
TV (Non-English),Gone for Good: Limited Series,Gone for Good,TV,8/15/2021,1,1,9750000,8
TV (Non-English),Valeria: Season 2,Valeria,TV,8/15/2021,1,1,9600000,9
TV (Non-English),Hospital Playlist: Season 2,Hospital Playlist,TV,8/15/2021,1,3,9500000,10
Films (English),N/A,Aftermath,Film,8/8/2021,1,1,24200000,1
Films (English),N/A,Resort to Love,Film,8/8/2021,1,2,23480000,2
Films (English),N/A,Vivo,Film,8/8/2021,1,1,21940000,3
Films (English),N/A,The Vault,Film,8/8/2021,1,1,10870000,4
Films (English),N/A,The Last Letter From Your Lover,Film,8/8/2021,1,3,6850000,5
Films (English),N/A,Hotel Transylvania 3: Summer Vacation,Film,8/8/2021,1,1,6250000,6
Films (English),N/A,Dead Man Down,Film,8/8/2021,1,1,5840000,7
Films (English),N/A,Wish Dragon,Film,8/8/2021,1,5,5150000,8
Films (English),N/A,World Trade Center,Film,8/8/2021,1,1,4870000,9
Films (English),N/A,The 2nd,Film,8/8/2021,1,1,4390000,10
Films (Non-English),N/A,The Last Mercenary,Film,8/8/2021,1,2,23890000,1
Films (Non-English),N/A,Rurouni Kenshin: The Beginning,Film,8/8/2021,1,2,15080000,2
Films (Non-English),N/A,Blood Red Sky,Film,8/8/2021,1,3,13300000,3
Films (Non-English),N/A,The Swarm,Film,8/8/2021,1,1,11380000,4
Films (Non-English),N/A,Mimi,Film,8/8/2021,1,2,5140000,5
Films (Non-English),N/A,Bartkowiak,Film,8/8/2021,1,2,4570000,6
Films (Non-English),N/A,El infierno,Film,8/8/2021,1,1,4420000,7
Films (Non-English),Navarasa: Volume 1,Navarasa,Film,8/8/2021,1,1,3520000,8
Films (Non-English),N/A,Kingdom: Ashin of the North,Film,8/8/2021,1,3,3450000,9
Films (Non-English),N/A,Shiny_Flakes: The Teenage Drug Lord,Film,8/8/2021,1,1,3340000,10
TV (English),Outer Banks: Season 2,Outer Banks,TV,8/8/2021,1,2,105330000,1
TV (English),Outer Banks: Season 1,Outer Banks,TV,8/8/2021,1,2,45080000,2
TV (English),All American: Season 3,All American,TV,8/8/2021,1,2,33020000,3
TV (English),Hit & Run: Season 1,Hit & Run,TV,8/8/2021,1,1,23570000,4
TV (English),Cocaine Cowboys: The Kings of Miami: Limited Series,Cocaine Cowboys: The Kings of Miami,TV,8/8/2021,1,1,18890000,5
TV (English),Virgin River: Season 3,Virgin River,TV,8/8/2021,1,5,18840000,6
TV (English),Top Secret UFO Projects: Declassified: Season 1,Top Secret UFO Projects: Declassified,TV,8/8/2021,1,1,17040000,7
TV (English),Sex/Life: Season 1,Sex/Life,TV,8/8/2021,1,6,15500000,8
TV (English),The Good Doctor: Season 1,The Good Doctor,TV,8/8/2021,1,4,14090000,9
TV (English),Car Masters: Rust to Riches: Season 3,Car Masters: Rust to Riches,TV,8/8/2021,1,1,13930000,10
TV (Non-English),The Snitch Cartel: Origins: Season 1,The Snitch Cartel: Origins,TV,8/8/2021,1,2,26880000,1
TV (Non-English),Control Z: Season 2,Control Z,TV,8/8/2021,1,1,25430000,2
TV (Non-English),The Cook of Castamar: Season 1,The Cook of Castamar,TV,8/8/2021,1,5,15800000,3
TV (Non-English),"Newly Rich, Newly Poor: Season 1","Newly Rich, Newly Poor",TV,8/8/2021,1,6,14510000,4
TV (Non-English),N/A,Carrossel,TV,8/8/2021,1,5,11280000,5
TV (Non-English),Hunter X Hunter (2011): Season 5,Hunter X Hunter (2011),TV,8/8/2021,1,1,9610000,6
TV (Non-English),Control Z: Season 1,Control Z,TV,8/8/2021,1,1,8580000,7
TV (Non-English),How to Sell Drugs Online (Fast): Season 3,How to Sell Drugs Online (Fast),TV,8/8/2021,1,2,8580000,8
TV (Non-English),"Nevertheless,: Season 1","Nevertheless,",TV,8/8/2021,1,4,7960000,9
TV (Non-English),Too Hot to Handle: Brazil: Season 1,Too Hot to Handle: Brazil,TV,8/8/2021,1,3,7470000,10
Films (English),N/A,Resort to Love,Film,8/1/2021,1,1,28050000,1
Films (English),N/A,The Last Letter From Your Lover,Film,8/1/2021,1,2,18890000,2
Films (English),N/A,Trollhunters: Rise of the Titans,Film,8/1/2021,1,2,8960000,3
Films (English),N/A,Fear Street Part 1: 1994,Film,8/1/2021,1,5,6570000,4
Films (English),N/A,Wish Dragon,Film,8/1/2021,1,4,6290000,5
Films (English),N/A,Fear Street Part 3: 1666,Film,8/1/2021,1,3,6190000,6
Films (English),N/A,Fear Street Part 2: 1978,Film,8/1/2021,1,4,5840000,7
Films (English),N/A,Twilight,Film,8/1/2021,1,3,5600000,8
Films (English),N/A,The Twilight Saga: Breaking Dawn: Part 2,Film,8/1/2021,1,2,4960000,9
Films (English),N/A,The Twilight Saga: New Moon,Film,8/1/2021,1,2,4810000,10
Films (Non-English),N/A,Blood Red Sky,Film,8/1/2021,1,2,52370000,1
Films (Non-English),N/A,The Last Mercenary,Film,8/1/2021,1,1,16120000,2
Films (Non-English),N/A,Kingdom: Ashin of the North,Film,8/1/2021,1,2,15120000,3
Films (Non-English),N/A,Mimi,Film,8/1/2021,1,1,9210000,4
Films (Non-English),N/A,Bartkowiak,Film,8/1/2021,1,1,9210000,5
Films (Non-English),N/A,Rurouni Kenshin: The Beginning,Film,8/1/2021,1,1,8610000,6
Films (Non-English),N/A,Chernobyl 1986,Film,8/1/2021,1,2,5570000,7
Films (Non-English),N/A,A Perfect Fit,Film,8/1/2021,1,3,3130000,8
Films (Non-English),N/A,Major Grom: Plague Doctor,Film,8/1/2021,1,4,2770000,9
Films (Non-English),N/A,Words Bubble Up Like Soda Pop,Film,8/1/2021,1,1,2180000,10
TV (English),Outer Banks: Season 2,Outer Banks,TV,8/1/2021,1,1,100160000,1
TV (English),All American: Season 3,All American,TV,8/1/2021,1,1,43970000,2
TV (English),Virgin River: Season 3,Virgin River,TV,8/1/2021,1,4,28320000,3
TV (English),Outer Banks: Season 1,Outer Banks,TV,8/1/2021,1,1,26240000,4
TV (English),Never Have I Ever: Season 2,Never Have I Ever,TV,8/1/2021,1,3,23570000,5
TV (English),Sex/Life: Season 1,Sex/Life,TV,8/1/2021,1,5,21620000,6
TV (English),Love Is Blind: Season 1,Love Is Blind,TV,8/1/2021,1,1,19370000,7
TV (English),The Good Doctor: Season 1,The Good Doctor,TV,8/1/2021,1,3,18510000,8
TV (English),The Walking Dead: Season 10,The Walking Dead,TV,8/1/2021,1,1,15050000,9
TV (English),The Good Doctor: Season 2,The Good Doctor,TV,8/1/2021,1,1,13240000,10
TV (Non-English),The Cook of Castamar: Season 1,The Cook of Castamar,TV,8/1/2021,1,4,24170000,1
TV (Non-English),"Newly Rich, Newly Poor: Season 1","Newly Rich, Newly Poor",TV,8/1/2021,1,5,16700000,2
TV (Non-English),How to Sell Drugs Online (Fast): Season 3,How to Sell Drugs Online (Fast),TV,8/1/2021,1,1,16470000,3
TV (Non-English),Sky Rojo: Season 2,Sky Rojo,TV,8/1/2021,1,2,15660000,4
TV (Non-English),The Snitch Cartel: Origins: Season 1,The Snitch Cartel: Origins,TV,8/1/2021,1,1,15150000,5
TV (Non-English),Too Hot to Handle: Brazil: Season 1,Too Hot to Handle: Brazil,TV,8/1/2021,1,2,14230000,6
TV (Non-English),N/A,Carrossel,TV,8/1/2021,1,4,12730000,7
TV (Non-English),"Nevertheless,: Season 1","Nevertheless,",TV,8/1/2021,1,3,7710000,8
TV (Non-English),N/A,Chiquititas,TV,8/1/2021,1,1,7020000,9
TV (Non-English),Elite: Season 4,Elite,TV,8/1/2021,1,5,6920000,10
Films (English),N/A,Trollhunters: Rise of the Titans,Film,7/25/2021,1,1,16130000,1
Films (English),N/A,The Last Letter From Your Lover,Film,7/25/2021,1,1,13140000,2
Films (English),N/A,Fear Street Part 3: 1666,Film,7/25/2021,1,2,12350000,3
Films (English),N/A,Twilight,Film,7/25/2021,1,2,12260000,4
Films (English),N/A,The Twilight Saga: New Moon,Film,7/25/2021,1,1,10050000,5
Films (English),N/A,Fear Street Part 1: 1994,Film,7/25/2021,1,4,9240000,6
Films (English),N/A,Fear Street Part 2: 1978,Film,7/25/2021,1,3,9100000,7
Films (English),N/A,The Twilight Saga: Eclipse,Film,7/25/2021,1,1,8960000,8
Films (English),N/A,The Twilight Saga: Breaking Dawn: Part 2,Film,7/25/2021,1,1,8940000,9
Films (English),N/A,The Twilight Saga: Breaking Dawn: Part 1,Film,7/25/2021,1,1,7990000,10
Films (Non-English),N/A,Blood Red Sky,Film,7/25/2021,1,1,35930000,1
Films (Non-English),N/A,Kingdom: Ashin of the North,Film,7/25/2021,1,1,16380000,2
Films (Non-English),N/A,Chernobyl 1986,Film,7/25/2021,1,1,8250000,3
Films (Non-English),N/A,A Perfect Fit,Film,7/25/2021,1,2,8000000,4
Films (Non-English),N/A,Major Grom: Plague Doctor,Film,7/25/2021,1,3,7190000,5
Films (Non-English),N/A,The Guide to the Perfect Family,Film,7/25/2021,1,2,4580000,6
Films (Non-English),N/A,A Classic Horror Story,Film,7/25/2021,1,2,4060000,7
Films (Non-English),N/A,Deep,Film,7/25/2021,1,1,3200000,8
Films (Non-English),N/A,Tô Ryca,Film,7/25/2021,1,2,2930000,9
Films (Non-English),N/A,Haseen Dillruba,Film,7/25/2021,1,4,2620000,10
TV (English),Never Have I Ever: Season 2,Never Have I Ever,TV,7/25/2021,1,2,50190000,1
TV (English),Virgin River: Season 3,Virgin River,TV,7/25/2021,1,3,44890000,2
TV (English),Sex/Life: Season 1,Sex/Life,TV,7/25/2021,1,4,31200000,3
TV (English),The Good Doctor: Season 1,The Good Doctor,TV,7/25/2021,1,2,25520000,4
TV (English),Never Have I Ever: Season 1,Never Have I Ever,TV,7/25/2021,1,1,17400000,5
TV (English),Manifest: Season 1,Manifest,TV,7/25/2021,1,4,16220000,6
TV (English),Atypical: Season 4,Atypical,TV,7/25/2021,1,3,15920000,7
TV (English),Heist: Season 1,Heist,TV,7/25/2021,1,2,15390000,8
TV (English),Virgin River: Season 1,Virgin River,TV,7/25/2021,1,3,14360000,9
TV (English),Virgin River: Season 2,Virgin River,TV,7/25/2021,1,2,13770000,10
TV (Non-English),The Cook of Castamar: Season 1,The Cook of Castamar,TV,7/25/2021,1,3,36650000,1
TV (Non-English),"Newly Rich, Newly Poor: Season 1","Newly Rich, Newly Poor",TV,7/25/2021,1,4,19070000,2
TV (Non-English),Sky Rojo: Season 2,Sky Rojo,TV,7/25/2021,1,1,12980000,3
TV (Non-English),N/A,Carrossel,TV,7/25/2021,1,3,12150000,4
TV (Non-English),The War Next-door: Season 1,The War Next-door,TV,7/25/2021,1,3,9730000,5
TV (Non-English),Too Hot to Handle: Brazil: Season 1,Too Hot to Handle: Brazil,TV,7/25/2021,1,1,9450000,6
TV (Non-English),Elite: Season 4,Elite,TV,7/25/2021,1,4,9410000,7
TV (Non-English),Hospital Playlist: Season 2,Hospital Playlist,TV,7/25/2021,1,2,8070000,8
TV (Non-English),"Nevertheless,: Season 1","Nevertheless,",TV,7/25/2021,1,2,7880000,9
TV (Non-English),Lupin: Part 2,Lupin,TV,7/25/2021,1,4,6840000,10
Films (English),N/A,Fear Street Part 3: 1666,Film,7/18/2021,1,1,20080000,1
Films (English),N/A,Fear Street Part 2: 1978,Film,7/18/2021,1,2,16820000,2
Films (English),N/A,Fear Street Part 1: 1994,Film,7/18/2021,1,3,14370000,3
Films (English),N/A,Gunpowder Milkshake,Film,7/18/2021,1,1,11770000,4
Films (English),N/A,The Water Man,Film,7/18/2021,1,1,11630000,5
Films (English),N/A,This Little Love Of Mine,Film,7/18/2021,1,2,8810000,6
Films (English),N/A,Wish Dragon,Film,7/18/2021,1,3,8550000,7
Films (English),N/A,Fatherhood,Film,7/18/2021,1,3,7790000,8
Films (English),N/A,Twilight,Film,7/18/2021,1,1,7170000,9
Films (English),N/A,Rust Creek,Film,7/18/2021,1,1,6560000,10
Films (Non-English),N/A,Major Grom: Plague Doctor,Film,7/18/2021,1,2,21050000,1
Films (Non-English),N/A,How I Became a Superhero,Film,7/18/2021,1,2,9860000,2
Films (Non-English),N/A,A Classic Horror Story,Film,7/18/2021,1,1,9090000,3
Films (Non-English),N/A,The Guide to the Perfect Family,Film,7/18/2021,1,1,5130000,4
Films (Non-English),N/A,Haseen Dillruba,Film,7/18/2021,1,3,4430000,5
Films (Non-English),N/A,A Perfect Fit,Film,7/18/2021,1,1,3170000,6
Films (Non-English),N/A,Last Summer,Film,7/18/2021,1,2,2420000,7
Films (Non-English),N/A,Tô Ryca,Film,7/18/2021,1,1,2210000,8
Films (Non-English),N/A,The 8th Night,Film,7/18/2021,1,3,1860000,9
Films (Non-English),N/A,Silver Skates,Film,7/18/2021,1,3,1780000,10
TV (English),Virgin River: Season 3,Virgin River,TV,7/18/2021,1,2,87270000,1
TV (English),Never Have I Ever: Season 2,Never Have I Ever,TV,7/18/2021,1,1,58380000,2
TV (English),Sex/Life: Season 1,Sex/Life,TV,7/18/2021,1,3,45000000,3
TV (English),Atypical: Season 4,Atypical,TV,7/18/2021,1,2,29680000,4
TV (English),Manifest: Season 1,Manifest,TV,7/18/2021,1,3,21350000,5
TV (English),Virgin River: Season 1,Virgin River,TV,7/18/2021,1,2,20080000,6
TV (English),The Good Doctor: Season 1,The Good Doctor,TV,7/18/2021,1,1,18980000,7
TV (English),Heist: Season 1,Heist,TV,7/18/2021,1,1,18710000,8
TV (English),Virgin River: Season 2,Virgin River,TV,7/18/2021,1,1,17000000,9
TV (English),Too Hot to Handle: Season 2,Too Hot to Handle,TV,7/18/2021,1,3,16110000,10
TV (Non-English),The Cook of Castamar: Season 1,The Cook of Castamar,TV,7/18/2021,1,2,51570000,1
TV (Non-English),"Newly Rich, Newly Poor: Season 1","Newly Rich, Newly Poor",TV,7/18/2021,1,3,21450000,2
TV (Non-English),The War Next-door: Season 1,The War Next-door,TV,7/18/2021,1,2,14360000,3
TV (Non-English),Elite: Season 4,Elite,TV,7/18/2021,1,3,14240000,4
TV (Non-English),Elize Matsunaga: Once Upon a Crime: Season 1,Elize Matsunaga: Once Upon a Crime,TV,7/18/2021,1,2,12510000,5
TV (Non-English),N/A,Carrossel,TV,7/18/2021,1,2,11620000,6
TV (Non-English),Lupin: Part 2,Lupin,TV,7/18/2021,1,3,9280000,7
TV (Non-English),Hospital Playlist: Season 2,Hospital Playlist,TV,7/18/2021,1,1,8530000,8
TV (Non-English),"Nevertheless,: Season 1","Nevertheless,",TV,7/18/2021,1,1,8130000,9
TV (Non-English),Biohackers: Season 2,Biohackers,TV,7/18/2021,1,1,7500000,10
Films (English),N/A,Fear Street Part 1: 1994,Film,7/11/2021,1,2,19550000,1
Films (English),N/A,Fear Street Part 2: 1978,Film,7/11/2021,1,1,16060000,2
Films (English),N/A,Fatherhood,Film,7/11/2021,1,2,12830000,3
Films (English),N/A,Warcraft,Film,7/11/2021,1,2,10990000,4
Films (English),N/A,Wish Dragon,Film,7/11/2021,1,2,10590000,5
Films (English),N/A,This Little Love Of Mine,Film,7/11/2021,1,1,9390000,6
Films (English),N/A,Mother's Day,Film,7/11/2021,1,1,9200000,7
Films (English),N/A,Kung Fu Panda 3,Film,7/11/2021,1,2,8860000,8
Films (English),N/A,How to Train Your Dragon: The Hidden World,Film,7/11/2021,1,1,8860000,9
Films (English),N/A,The Huntsman: Winter's War,Film,7/11/2021,1,1,7460000,10
Films (Non-English),N/A,Major Grom: Plague Doctor,Film,7/11/2021,1,1,26150000,1
Films (Non-English),N/A,Haseen Dillruba,Film,7/11/2021,1,2,10210000,2
Films (Non-English),N/A,How I Became a Superhero,Film,7/11/2021,1,1,8820000,3
Films (Non-English),N/A,The 8th Night,Film,7/11/2021,1,2,5960000,4
Films (Non-English),N/A,Silver Skates,Film,7/11/2021,1,2,3110000,5
Films (Non-English),N/A,Rurouni Kenshin: The Final,Film,7/11/2021,1,2,2570000,6
Films (Non-English),N/A,Dynasty Warriors,Film,7/11/2021,1,2,2420000,7
Films (Non-English),N/A,Xtreme,Film,7/11/2021,1,2,1710000,8
Films (Non-English),N/A,O Candidato Honesto,Film,7/11/2021,1,1,1280000,9
Films (Non-English),N/A,Last Summer,Film,7/11/2021,1,1,1270000,10
TV (English),Sex/Life: Season 1,Sex/Life,TV,7/11/2021,1,2,69860000,1
TV (English),Virgin River: Season 3,Virgin River,TV,7/11/2021,1,1,62580000,2
TV (English),Too Hot to Handle: Season 2,Too Hot to Handle,TV,7/11/2021,1,2,33420000,3
TV (English),Manifest: Season 1,Manifest,TV,7/11/2021,1,2,31940000,4
TV (English),Pokémon Journeys: The Series: Season 1,Pokémon Journeys: The Series,TV,7/11/2021,1,2,21870000,5
TV (English),Atypical: Season 4,Atypical,TV,7/11/2021,1,1,20620000,6
TV (English),Manifest: Season 2,Manifest,TV,7/11/2021,1,2,20070000,7
TV (English),Virgin River: Season 1,Virgin River,TV,7/11/2021,1,1,13590000,8
TV (English),Lucifer: Season 5,Lucifer,TV,7/11/2021,1,2,13440000,9
TV (English),Sweet Tooth: Season 1,Sweet Tooth,TV,7/11/2021,1,2,13100000,10
TV (Non-English),"Newly Rich, Newly Poor: Season 1","Newly Rich, Newly Poor",TV,7/11/2021,1,2,24990000,1
TV (Non-English),Elite: Season 4,Elite,TV,7/11/2021,1,2,21780000,2
TV (Non-English),The Cook of Castamar: Season 1,The Cook of Castamar,TV,7/11/2021,1,1,16960000,3
TV (Non-English),The War Next-door: Season 1,The War Next-door,TV,7/11/2021,1,1,13970000,4
TV (Non-English),Lupin: Part 2,Lupin,TV,7/11/2021,1,2,13150000,5
TV (Non-English),Elize Matsunaga: Once Upon a Crime: Season 1,Elize Matsunaga: Once Upon a Crime,TV,7/11/2021,1,1,11700000,6
TV (Non-English),The Seven Deadly Sins: Dragon's Judgement,The Seven Deadly Sins,TV,7/11/2021,1,2,10110000,7
TV (Non-English),Young Royals: Season 1,Young Royals,TV,7/11/2021,1,1,9820000,8
TV (Non-English),N/A,Carrossel,TV,7/11/2021,1,1,9790000,9
TV (Non-English),Somos.: Season 1,Somos.,TV,7/11/2021,1,2,9420000,10
Films (English),N/A,Fatherhood,Film,7/4/2021,1,1,25680000,1
Films (English),N/A,Fear Street Part 1: 1994,Film,7/4/2021,1,1,16620000,2
Films (English),N/A,Wish Dragon,Film,7/4/2021,1,1,15260000,3
Films (English),N/A,The Ice Road,Film,7/4/2021,1,1,13690000,4
Films (English),N/A,Good on Paper,Film,7/4/2021,1,1,10580000,5
Films (English),N/A,Kung Fu Panda 3,Film,7/4/2021,1,1,7690000,6
Films (English),N/A,Warcraft,Film,7/4/2021,1,1,7650000,7
Films (English),N/A,Fatale,Film,7/4/2021,1,1,6460000,8
Films (English),N/A,Skylines,Film,7/4/2021,1,1,6130000,9
Films (English),N/A,The Mitchells vs. The Machines,Film,7/4/2021,1,1,4890000,10
Films (Non-English),N/A,Silver Skates,Film,7/4/2021,1,1,7390000,1
Films (Non-English),N/A,Haseen Dillruba,Film,7/4/2021,1,1,7370000,2
Films (Non-English),N/A,Rurouni Kenshin: The Final,Film,7/4/2021,1,1,5340000,3
Films (Non-English),N/A,The 8th Night,Film,7/4/2021,1,1,4480000,4
Films (Non-English),N/A,Dynasty Warriors,Film,7/4/2021,1,1,4100000,5
Films (Non-English),N/A,Security,Film,7/4/2021,1,1,2950000,6
Films (Non-English),N/A,Murder by the Coast,Film,7/4/2021,1,1,2690000,7
Films (Non-English),N/A,Xtreme,Film,7/4/2021,1,1,2650000,8
Films (Non-English),N/A,Rurouni Kenshin: Origins,Film,7/4/2021,1,1,2150000,9
Films (Non-English),N/A,Prime Time,Film,7/4/2021,1,1,2080000,10
TV (English),Sex/Life: Season 1,Sex/Life,TV,7/4/2021,1,1,86730000,1
TV (English),Too Hot to Handle: Season 2,Too Hot to Handle,TV,7/4/2021,1,1,62150000,2
TV (English),Manifest: Season 1,Manifest,TV,7/4/2021,1,1,36330000,3
TV (English),Sweet Tooth: Season 1,Sweet Tooth,TV,7/4/2021,1,1,21350000,4
TV (English),Manifest: Season 2,Manifest,TV,7/4/2021,1,1,21330000,5
TV (English),Lucifer: Season 5,Lucifer,TV,7/4/2021,1,1,16890000,6
TV (English),Pokémon Journeys: The Series: Season 1,Pokémon Journeys: The Series,TV,7/4/2021,1,1,15350000,7
TV (English),Sophie: A Murder in West Cork: Limited Series,Sophie: A Murder in West Cork,TV,7/4/2021,1,1,12800000,8
TV (English),CoComelon: Season 3,CoComelon,TV,7/4/2021,1,1,11430000,9
TV (English),Lucifer: Season 3,Lucifer,TV,7/4/2021,1,1,9550000,10
TV (Non-English),Elite: Season 4,Elite,TV,7/4/2021,1,1,38720000,1
TV (Non-English),The Seven Deadly Sins: Dragon's Judgement,The Seven Deadly Sins,TV,7/4/2021,1,1,33240000,2
TV (Non-English),"Newly Rich, Newly Poor: Season 1","Newly Rich, Newly Poor",TV,7/4/2021,1,1,28270000,3
TV (Non-English),Lupin: Part 2,Lupin,TV,7/4/2021,1,1,20970000,4
TV (Non-English),Somos.: Season 1,Somos.,TV,7/4/2021,1,1,11510000,5
TV (Non-English),Elite: Season 1,Elite,TV,7/4/2021,1,1,10530000,6
TV (Non-English),Elite: Season 3,Elite,TV,7/4/2021,1,1,10200000,7
TV (Non-English),Elite: Season 2,Elite,TV,7/4/2021,1,1,10140000,8
TV (Non-English),Katla: Season 1,Katla,TV,7/4/2021,1,1,9190000,9
TV (Non-English),Record of Ragnarok: Season 1,Record of Ragnarok,TV,7/4/2021,1,1,9140000,10
